English,Hungary
you,te
i,én
the,a
to,nak nek
a,a
s,s
it,azt
and,és
that,hogy
t,t
of,"nak,-nek"
is,van
in,ban ben
what,mit
we,mi
me,nekem
this,ez
he,ő
for,számára
my,az én
on,tovább
have,van
your,a te
do,csináld
was,volt
m,m
no,nem
not,nem
be,lenni
are,vannak
do,csináld
re,újra
know,tud
can,tud
with,val vel
but,de
all,minden
so,így
just,éppen
there,ott
here,itt
they,ők
like,mint
will,akarat
get,kap
she,ő
go,megy
if,ha
right,jobb
out,ki
about,ról ről
up,fel
at,nál nél
him,neki
now,Most
oh,ó
one,egy
come,jön
well,jól
her,neki
how,hogyan
yeah,igen
have,van
will,akarat
got,kapott
want,akar
think,gondol
as,mint
see,lát
did,tette
good,jó
who,WHO
why,miért
from,tól től
let,hagyja
his,övé
yes,Igen
when,amikor
going,haladó
time,idő
an,an
okay,oké
back,vissza
look,néz
us,minket
would,lenne
them,őket
where,ahol
were,voltak
take,vesz
then,akkor
had,volt
or,vagy
been,volt
our,a miénk
gonna,fog
tell,Mondd
really,igazán
man,Férfi
some,néhány
say,mond
hey,Hé
could,tudott
d,d
did,tette
by,által
need,szükség
something,valami
has,van
too,is
more,több
way,út
down,le-
make,készítsenek
very,nagyon
never,soha
only,csak
people,emberek
over,felett
because,mert
little,kis
please,kérem
love,szerelem
should,kellene
mean,átlagos
said,mondott
sorry,sajnálom
give,adni
off,ki
am,am
thank,köszönet
any,Bármi
two,kettő
even,még
much,sokkal
doing,csinál
sure,biztos
thing,dolog
these,ezek
help,Segítség
first,első
into,-ba
anything,bármi
still,még mindig
find,megtalálja
life,élet
nothing,semmi
sir,uram
day,nap
god,Isten
work,munka
their,az övék
uh,uh
again,újra
maybe,talán
must,kell
before,előtt
other,Egyéb
wait,várjon
stop,állj meg
call,hívás
after,után
won,nyerte
talk,beszélgetés
away,el
than,mint
thought,gondolat
home,itthon
night,éjszaka
put,fel
great,nagy
those,azok
last,utolsó
better,jobb
everything,minden
told,mondta
mr.,úr.
new,új
things,dolgokat
always,mindig
keep,tart
long,hosszú
years,évek
leave,elhagy
does,csinál
money,pénz
around,körül
doesn,nem
name,név
place,hely
ever,valaha
feel,érez
guys,srácok
father,apa
guy,fickó
made,készült
old,régi
isn,isn
which,melyik
big,nagy
lot,sok
done,Kész
hello,Helló
nice,szép
believe,hinni
girl,lány
someone,valaki
fine,bírság
thanks,Kösz
wanted,akarta
kind,kedves
coming,eljövetel
house,ház
every,minden
ok,rendben
through,keresztül
being,lény
course,tanfolyam
stay,marad
left,bal
dad,apu
enough,elég
happened,történt
came,jött
may,lehet
mother,anya
wrong,rossz
world,világ
bad,rossz
might,esetleg
three,három
today,Ma
listen,hallgat
another,egy másik
understand,megért
hear,hall
remember,emlékezik
ask,kérdez
own,saját
same,azonos
show,előadás
else,más
kill,megöl
talking,beszél
found,megtalált
next,következő
getting,szerzés
care,gondoskodás
car,autó
looking,keres
son,fiú
try,próbáld ki
woman,nő
went,ment
hi,Szia
dead,halott
many,sok
mind,ész
wasn,volt
friend,barátja
best,legjobb
mom,anya
hell,pokol
morning,reggel
trying,megpróbálja
boy,fiú
together,együtt
yourself,saját magad
job,munka
saw,fűrész
family,család
real,igazi
without,nélkül
baby,baba
room,szoba
wouldn,nem tenné
already,már
move,mozog
most,a legtöbb
seen,látott
live,élő
miss,hiányzik
actually,tulajdonképpen
huh,huh
shit,szar
both,mindkét
heard,hallott
once,egyszer
ready,kész
head,fej
called,hívott
used,használt
idea,ötlet
knew,tudta
hold,tart
happy,boldog
door,ajtó
such,ilyen
fuck,bassza meg
brother,fiú testvér
also,is
pretty,szép
bit,bit
took,vett
haven,menedéket
yet,még
men,férfiak
whole,egész
start,Rajt
use,használat
while,míg
since,mivel
wife,feleség
days,napok
guess,Találd ki
tomorrow,holnap
matter,ügy
meet,találkozik
bring,hozza
tonight,ma este
everyone,mindenki
run,fuss
wanna,akarok
hard,kemény
ah,ah
alone,egyedül
myself,magamat
school,iskola
gone,elmúlt
um,hm
end,vége
saying,mondás
phone,telefon
play,játék
looks,úgy néz ki
couldn,tudna
fucking,kibaszott
problem,probléma
few,kevés
friends,barátok
gotta,Kell
ago,ezelőtt
open,nyisd ki
anyone,bárki
killed,megölték
hope,remény
face,arc
until,amíg
lost,elveszett
police,rendőrség
excuse,mentség
turn,fordulat
business,üzleti
case,ügy
wants,akar
says,mondja
TRUE,IGAZ
die,meghal
heart,szív
soon,hamar
each,minden egyes
worry,aggodalom
later,a későbbiekben
year,év
watch,néz
music,zene
hand,kéz
having,amelynek
probably,valószínűleg
beautiful,gyönyörű
doctor,orvos
sit,ül
eat,eszik
thinking,gondolkodás
young,fiatal
second,második
working,dolgozó
water,víz
person,személy
part,rész
kids,gyerekek
late,késő
stuff,dolog
exactly,pontosan
under,alatt
death,halál
minute,perc
pay,fizetés
crazy,őrült
forget,elfelejt
everybody,mindenki
kid,kölyök
change,változás
gave,adott
happen,történik
damn,átkozott
five,öt
drink,ital
far,messze
knows,tudja
its,annak
whatever,tök mindegy
eyes,szemek
shut,bezárva
aren,aren
hit,találat
taking,szedése
easy,könnyen
times,alkalommal
check,jelölje be
hands,kezek
minutes,percek
deal,üzlet
different,különböző
means,eszközök
point,pont
inside,belül
makes,teszi
asked,kérdezte
somebody,valaki
mine,enyém
making,készítése
body,test
afraid,fél
sleep,alvás
chance,véletlen
dear,kedves
quite,egészen
four,négy
anyway,akárhogyan is
close,Bezárás
ain,ain
party,buli
fun,szórakoztató
against,ellen
word,szó
comes,jön
important,fontos
set,készlet
shall,kell
story,sztori
number,szám
daughter,lánya
least,legkevésbé
waiting,várakozás
hurt,sért
wish,szeretnék
moment,pillanat
fight,harc
week,hét
husband,férj
girls,lányok
rest,pihenés
married,házas
fire,Tűz
game,"játszma, meccs"
nobody,senki
mr,úr
children,gyermekek
side,oldal
stand,állvány
read,olvas
though,bár
cut,vágott
started,elindult
sister,nővér
supposed,feltételezett
between,között
child,gyermek
goes,megy
hours,órák
speak,beszél
women,nők
behind,mögött
almost,majdnem
truth,igazság
blood,vér
able,képes
lady,hölgy
anymore,többé
playing,játszik
gets,kap
shot,lövés
reason,ok
trouble,baj
break,szünet
war,háború
city,város
walk,séta
town,város
trust,bizalom
dr.,dr.
met,találkozott
office,hivatal
question,kérdés
brought,hozott
yours,a tiéd
welcome,Üdvözöljük
high,magas
wow,Azta
couple,párosít
half,fél
died,meghalt
cool,menő
free,ingyenes
either,bármelyik
seems,úgy tűnik
power,erő
whoa,izé
bye,Viszlát
buy,megvesz
telling,sokatmondó
honey,édesem
tried,megpróbálta
front,elülső
team,csapat
answer,válasz
gun,pisztoly
boys,fiúk
line,vonal
send,Küld
news,hírek
stupid,hülye
bed,ágy
hurry,siet
full,teljes
months,hónapok
save,megment
sometimes,néha
become,válik
along,mentén
hate,gyűlöl
food,étel
outside,kívül
light,fény
l,l
needs,igények
dog,kutya
country,ország
clear,egyértelmű
order,rendelés
em,em
fact,tény
lord,lord
captain,kapitány
six,hat
hot,forró
funny,vicces
black,fekete
mrs.,Asszony.
alive,élő
pick,szed
feeling,érzés
living,élő
cause,ok
ahead,előre
lose,elveszít
king,király
plan,terv
dinner,vacsora
sighs,sóhajt
sort,fajta
leaving,kilépő
shouldn,kellene
running,futás
boss,főnök
alright,rendben
promise,ígéret
taken,vették
safe,biztonságos
ma,ma
book,könyv
sent,küldött
white,fehér
hour,óra
anybody,bárki
small,kicsi
perfect,tökéletes
cause,ok
lives,életeket
special,különleges
parents,szülők
himself,saját maga
perhaps,talán
sounds,hangokat
serious,komoly
sick,beteg
company,vállalat
scared,megrémült
uncle,nagybácsi
poor,szegény
red,piros
past,múlt
earth,föld
possible,lehetséges
shoot,lő
touch,érintés
sound,hang
top,tetejére
ass,szamár
laughs,nevet
cannot,nem tud
asking,kérve
win,győzelem
glad,boldog
control,ellenőrzés
hmm,hmm
human,emberi
drive,hajtás
hair,haj
jack,Jack
bitch,kurva
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apu
finally,végül
chuckles,kuncog
fast,gyors
cold,hideg
seem,látszik
laughing,nevetés
words,szavak
hospital,kórház
street,utca
hang,lóg
dance,tánc
meeting,találkozó
till,amíg
others,mások
catch,fogás
follow,kövesse
sense,érzék
sex,szex
lie,fekszik
evening,este
master,fő-
known,ismert
dream,álom
write,ír
million,millió
voice,hang
sweet,édes
rather,Inkább
felt,filc
sign,jel
lucky,szerencsés
somewhere,valahol
bet,tét
jesus,Jézus
longer,hosszabb
calling,hívás
worked,dolgozott
quiet,csendes
looked,nézett
less,Kevésbé
pull,Húzni
beat,üt
careful,óvatos
coffee,kávé
return,Visszatérés
secret,titok
weeks,hétig
were,voltak
date,dátum
seeing,látás
fall,esik
given,adott
ooh,óóó
fault,hiba
straight,egyenes
takes,veszi
song,dal
future,jövő
gentlemen,Urak
loved,szeretett
changed,megváltozott
road,út
calm,nyugodt
wonderful,csodálatos
mad,őrült
turned,fordult
drop,csepp
ladies,hölgyek
learn,tanul
step,lépés
absolutely,teljesen
early,korai
explain,megmagyarázni
clean,tiszta
piece,darab
yesterday,tegnap
throw,dobás
picture,kép
land,föld
feet,lábát
wonder,csoda
questions,kérdéseket
speaking,beszélő
worth,érdemes
darling,Drágám
dude,haver
giving,adva
president,elnök
eye,szem
quick,gyors
moving,mozgó
figure,ábra
state,állapot
strong,erős
sam,sam
none,egyik sem
amazing,elképesztő
ones,azok
works,művek
act,törvény
needed,szükséges
weird,furcsa
law,törvény
worried,aggódó
report,jelentés
goodbye,viszontlátásra
missing,hiányzó
choice,választás
happening,esemény
chief,fő
wedding,esküvő
strange,furcsa
general,Tábornok
pain,fájdalom
am,am
kidding,viccelek
decided,határozott
pass,pass
tired,fáradt
class,osztály
officer,tiszt
kept,tartotta
wake,ébred
worse,rosszabb
busy,elfoglalt
mistake,hiba
kiss,csók
court,bíróság
building,épület
finish,Befejez
during,alatt
age,kor
ship,hajó
caught,elkapták
marry,feleségül vesz
meant,jelentett
sell,elad
dark,sötét
watching,nézni
system,rendszer
suppose,tegyük fel
evidence,bizonyíték
movie,film
ride,lovagol
completely,teljesen
mouth,száj
totally,teljesen
birthday,születésnap
forgive,megbocsát
born,született
imagine,Képzeld el
information,információ
instead,helyette
definitely,egyértelműen
security,Biztonság
certainly,biztosan
film,film
month,hónap
lying,fekvő
unless,hacsak
train,vonat
seven,hét
wear,viselet
clothes,ruhák
michael,michael
hotel,szálloda
christmas,Karácsony
attack,támadás
hasn,hasn
round,kerek
expect,elvárják
sing,énekel
terrible,szörnyű
george,György
bag,táska
history,történelem
blue,kék
near,közel
broke,törött
station,állomás
seriously,Komolyan
forever,örökké
david,David
frank,őszinte
except,kivéve
thinks,azt hiszi
message,üzenet
entire,teljes
joe,joe
table,asztal
talked,beszélt
across,át
rock,szikla
lovely,bájos
handle,fogantyú
middle,középső
buddy,haver
paid,fizetett
protect,védeni
using,segítségével
floor,padló
ran,futott
swear,esküszik
spend,tölt
situation,helyzet
ring,gyűrű
anywhere,bárhol
dangerous,veszélyes
bill,számla
york,york
army,hadsereg
lead,vezet
bought,vásárolt
finished,befejezett
fair,becsületes
sun,nap
letter,levél
fool,bolond
attention,Figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,hely
test,teszt
box,doboz
group,csoport
single,egyetlen
sitting,ülés
marriage,házasság
join,csatlakozik
fear,félelem
peace,béke
forgot,elfelejtette
force,Kényszerítés
short,rövid
normal,Normál
charlie,Charlie
present,ajándék
enjoy,Élvezd
mike,mikrofon
crime,bűn
horse,ló
ground,talaj
american,Amerikai
count,számol
area,terület
charge,díj
honor,becsület
lunch,ebéd
miles,mérföldre
radio,rádió
idiot,idióta
ball,labda
surprise,meglepetés
paper,papír
key,kulcs
boat,hajó
quickly,gyorsan
gold,Arany
bar,rúd
fish,hal
mark,Mark
tom,tom
wearing,fárasztó
crying,síró
accident,baleset
government,kormány
eight,nyolc
fell,leesett
cover,borító
certain,bizonyos
interested,érdekelt
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémákat
detective,nyomozó
prison,börtön
major,Jelentősebb
stick,rúd
offer,ajánlat
difficult,nehéz
smart,Okos
personal,személyes
record,rekord
stopped,megállt
hide,elrejt
whether,vajon
bank,bank
trip,utazás
relax,lazíts
america,Amerika
public,nyilvános
list,lista
afternoon,délután
brain,agy
fix,javítani
bastard,fattyú
proud,büszke
tea,tea
service,szolgáltatás
screaming,sikoltozva
forward,előre
angry,mérges
park,park
soul,lélek
fighting,harcoló
peter,Péter
rich,gazdag
agent,ügynök
blow,fúj
paul,Pál
dress,ruha
mary,Mária
missed,nem fogadott
scene,színhely
killing,gyilkolás
standing,álló
saved,mentett
mm,mm
respect,tisztelet
killer,gyilkos
ice,jég
mess,rendetlenség
tough,kemény
feels,érzi
church,templom
sad,szomorú
cell,sejt
drunk,részeg
share,Ossza meg
camera,kamera
mm-hmm,mm-hmm
within,belül
card,kártya
fly,légy
ben,ben
girlfriend,barátnő
laugh,nevetés
smell,szag
broken,törött
mum,mama
honest,becsületes
often,gyakran
starting,induló
calls,hívásokat
spent,költött
third,harmadik
english,angol
visit,látogatás
mama,mama
judge,bíró
window,ablak
hungry,éhes
dare,merészel
relationship,kapcsolat
moved,megmozdult
prove,bizonyít
private,magán
wall,fal
seat,ülés
position,pozíció
lieutenant,hadnagy
realize,Rájön
lt,lt
especially,különösen
machine,gép
walking,gyaloglás
art,Művészet
pleasure,öröm